ID,Categoría,Tipo,Hallazgo,Descripción,Impacto,Acción sugerida para Business Dollar,Prioridad
1,SEO Técnico,Error,Meta description duplicado,"Dos etiquetas <meta name=""description""> con contenido diferente en la misma página. Google puede ignorar ambas o elegir la incorrecta.",Alto,"Implementar un solo <meta description> por página con HeadMeta component en Astro. Cada página debe tener una descripción única de 150-160 caracteres.",1
2,SEO Técnico,Error,Sin Schema.org / JSON-LD,"No se detecta ningún dato estructurado (Organization, WebSite, FinancialService, FAQPage). Los motores de búsqueda no tienen contexto semántico del negocio.",Alto,"Implementar Schema.org obligatorio: Organization, WebSite, FinancialService, BreadcrumbList. Para blog: Article/BlogPosting. Para FAQs: FAQPage.",1
3,SEO Técnico,Error,Sitemap incluye rutas privadas,"El sitemap.xml contiene /admin/dashboard, /login, /forgot-password. Estas URLs no deben ser indexadas ni incluidas en el sitemap.",Alto,"Generar sitemap automático con @astrojs/sitemap. Incluir solo páginas públicas indexables. Excluir rutas de autenticación y admin.",1
4,SEO Técnico,Warning,Sitemap no actualizado,"La fecha de última modificación del sitemap es 2025-03-10. Lleva un año sin actualizarse.",Medio,"Configurar generación automática del sitemap en cada build. El sitemap debe reflejar siempre el estado actual del sitio.",2
5,SEO Técnico,Warning,Sitemap con solo 7 URLs,"Un sitio de servicios financieros con solo 7 URLs indica falta total de contenido. Los competidores como Rextie tienen cientos de páginas indexadas.",Alto,"Planificar estructura de contenido con mínimo 30-50 páginas iniciales: home, servicios, blog (10+ artículos), FAQs, localidades, landings informativas.",1
6,SEO Técnico,Warning,Sin robots.txt visible,"No se encontró un robots.txt configurado correctamente que referencie el sitemap.",Medio,"Crear robots.txt con referencia al sitemap, permitir crawling de páginas públicas, bloquear /admin/ y /api/.",2
7,SEO Técnico,Oportunidad,SPA/PWA con renderizado JS,"Todo el contenido se renderiza con JavaScript (Next.js SSP). Aunque Google puede renderizar JS, hay riesgo de contenido no indexado y mayor tiempo de crawl budget.",Alto,"Usar Astro con SSG (Static Site Generation). El HTML se genera en build time, es inmediatamente accesible para crawlers sin necesidad de renderizar JS.",1
8,Contenido,Error,Sin blog ni artículos,"Zero contenido informativo. No hay blog, guías, ni artículos educativos. Imposible construir autoridad temática ni capturar tráfico informacional.",Alto,"Lanzar blog con mínimo 10 artículos iniciales en clusters temáticos: tipo de cambio, seguridad financiera, guías de cambio, actualidad económica.",1
9,Contenido,Error,Sin páginas de FAQ,"No existe sección de preguntas frecuentes. Oportunidad perdida para capturar queries de cola larga y Feature Snippets.",Alto,"Crear página /preguntas-frecuentes con FAQPage Schema. Incluir preguntas reales que los usuarios hacen antes de cambiar dólares online.",1
10,Contenido,Error,Landing page con texto mínimo,"La landing principal tiene muy poco texto rico en keywords. Solo frases cortas como 'Cambia dólares y soles online al mejor tipo de cambio'.",Alto,"Diseñar landing con contenido SEO-rich: explicar qué es Business Dollar en las primeras 200 palabras, incluir beneficios, cómo funciona, y social proof.",1
